flux,julian_date
1.3769785744221512,2943.3129624097273
1.367433174286107,2943.3136434409244
1.3442875683654654,2943.314324572122
1.3074028262969928,2943.3150056033264
1.3571539907192978,2943.3156866345234
1.3089495318153364,2943.316367765605
1.321670458098788,2943.317048796802
1.3131219949359663,2943.317729827999
1.2955278257223792,2943.3184107592024
1.2720370386913216,2943.3190918904
1.2889073168062455,2943.3197729214808
1.2228182218045072,2943.320453952678
1.2505532570210036,2943.3211350838756
1.2393582010785484,2943.32181611508
1.2221823987243776,2943.322497146277
1.1709412564934802,2943.3231782773582
1.1954520917869185,2943.3238592085545
1.178619894773448,2943.3245402397515
1.127953383232069,2943.3252213709566
1.1027020237151948,2943.3259024021536
1.1420216801648768,2943.3265834333506
1.0957026297252896,2943.327264464431
1.10270850187958,2943.327945595629
1.1208770391543994,2943.328626626826
1.0828158099079201,2943.3293075580295
1.1114666299573004,2943.3299886892273
1.0309844543758755,2943.330669720308
1.0653410490216493,2943.331350751505
1.0536498882471559,2943.3320318827027
1.0419732595711482,2943.332712913907
1.0479647737425855,2943.333393945104
1.0199207125763634,2943.3340750761854
1.0362613569814174,2943.3347561073824
0.9817155630292187,2943.3354370385787
1.0210046670549762,2943.3361181697837
1.0100981520559476,2943.3367992009807
1.0135209865058976,2943.3374802320614
0.9941852415858397,2943.338161363259
0.966533547078731,2943.338842394456
0.9829379226144933,2943.339523525654
0.9411808130435049,2943.340204556742
0.9596395545742281,2943.340885487938
0.9836085001711218,2943.341566519135
0.9772008077093175,2943.342247650333
0.978163252834327,2943.3429286814135
0.9567054713643116,2943.3436098126185
0.9660258866021136,2943.3442908438155
0.9381019341053034,2943.3449718750126
0.9412843761309059,2943.3456529062096
0.9326848755378604,2943.34633393729
0.9891389266153054,2943.3470149684945
0.9483475887942812,2943.3476959996915
0.9620401521927484,2943.3483771308893
0.9613651099552599,2943.34905816197
1.4602088048443234,2943.349739193167
0.990250807234984,2943.350420224371
0.9667123969414192,2943.351101355569
0.927252672072598,2943.3517822867652
0.9449851588500849,2943.3524634178466
0.9539248506161145,2943.3531444490436
0.9271527857811994,2943.3538254802406
0.9444204204926685,2943.354506511445
0.9918930219066281,2943.3551876425263
0.9416484664779056,2943.3558686737233
0.9936216412843286,2943.3565497049203
1.0549341405651376,2943.357230836118
0.9823011365639821,2943.357911767205
1.0010129642195373,2943.3585927984022
1.0174447406397937,2943.3592738295993
0.9718606116868771,2943.359954960797
0.9542304623981236,2943.3606359918776
0.9541425694651139,2943.3613171230754
0.9832082546634318,2943.3619981542797
0.9758183324124144,2943.3626791854767
0.9924743933888174,2943.3633601165566
0.9723984744163713,2943.3640412477544
0.9705439685469694,2943.3647222789587
0.985243448793523,2943.3654034101564
0.9955085379756563,2943.366084441237
0.9905747154542432,2943.366765472434
1.0304031704364482,2943.367446603632
0.9720942633185535,2943.3681276347124
0.9867919051671058,2943.368808565916
0.9894074202662427,2943.3694896971137
0.9664537956225836,2943.3701707283108
0.9920182955989957,2943.3708517593914
0.9403931908141333,2943.371532890589
1.0248102384602236,2943.3722139217934
0.9695774964549096,2943.3728949529905
1.0039825897908103,2943.373576084072
0.9876337163661318,2943.374257015268
0.9807531179042092,2943.374938046465
0.9878113406301526,2943.375619177663
1.010046676911914,2943.3763002087508
0.9715219962836082,2943.376981239948
0.9628855526450149,2943.377662271145
0.9676218786954418,2943.378343402226
0.8995288423296327,2943.379024433423
1.024639354988874,2943.3797053646267
0.9701521271444278,2943.3803864958245
0.9920135682898498,2943.381067526905
0.9511866881074689,2943.381748558102
1.0032296344951757,2943.3824296893
0.9627882926364751,2943.383110720388
0.9737438315822023,2943.383791751585
0.9994139081295405,2943.3844728827826
0.9614301542273976,2943.3851539139796
0.962149318016915,2943.3858348450594
0.9934662528818462,2943.3865158762637
0.9774627356531076,2943.3871970074615
0.9894332453810215,2943.387878038542
0.9992555432731514,2943.388559069739
1.0200219995519533,2943.389240200937
0.9783430656673969,2943.389921232134
1.0106812743933762,2943.3906023632226
0.9895648221522503,2943.391283294419
0.9597148413495153,2943.391964325616
1.0013389734650835,2943.3926453566964
0.9523601112888067,2943.3933264878942
0.9958087221064238,2943.3940075190985
1.0108236189243263,2943.39468865018
0.962807201873059,2943.395369681377
0.9931243108536228,2943.396050712574
0.9801037256959755,2943.39673164377
0.9727988950095852,2943.397412774859
1.0179333167943032,2943.398093806056
0.9769611156270657,2943.3987749372536
1.0116436319756237,2943.399455968334
1.0025932861584743,2943.4001369995312
1.0301332761013196,2943.400818130729
0.9931910184382379,2943.401499161817
0.9981451508804261,2943.402180093013
0.999723284250314,2943.402861224211
0.9684201811417728,2943.4035422552915
1.0284146365984825,2943.4042232864886
0.972601310995837,2943.404904317693
1.0182911040624418,2943.405585448774
0.9560586178961749,2943.4062664799712
1.0010018462887682,2943.4069475111683
0.9876656694742479,2943.407628542249
0.9493819065268615,2943.408309573453
0.9979529945179196,2943.40899060465
